translated_pesq,modified_translated_pesq,translated_mfcc,modified_translated_mfcc
1.3851832151412964,1.9112250804901123,109.71342,125.277885
1.0727722644805908,2.122570037841797,113.66242,118.90701
1.0545145273208618,1.0568116903305054,96.58412,149.78238
1.040090799331665,1.1126118898391724,89.436066,98.18738
1.0862882137298584,1.1564111709594727,109.313934,133.27615
1.096329689025879,1.0526114702224731,128.1426,168.88417
1.0826232433319092,1.0329254865646362,121.27196,126.45647
1.0603010654449463,1.1321077346801758,94.23933,102.47634
1.141597032546997,1.3955693244934082,126.94806,139.25008
1.4814841747283936,1.304715871810913,149.65607,165.63449
1.2622345685958862,1.1024645566940308,121.2423,155.80377
1.0443711280822754,1.143949270248413,112.2933,160.66536
1.0919318199157715,1.1715031862258911,68.80881,109.53667
1.0404536724090576,1.043285846710205,100.96413,110.72995
1.1418390274047852,1.1655927896499634,84.33451,96.48791
1.1767776012420654,2.191006660461426,104.32035,112.81315
1.0875694751739502,1.3668711185455322,98.542046,106.719826
1.6424096822738647,2.5274791717529297,123.54324,153.67642
1.0341240167617798,1.0921275615692139,97.21607,107.6581
1.1157914400100708,1.4195606708526611,89.976776,91.92508
1.0654584169387817,1.1199263334274292,100.93463,105.64271
2.037519693374634,2.455876111984253,148.41476,149.32718
2.311638832092285,2.8778700828552246,69.70604,101.76798
1.1428815126419067,1.2393684387207031,173.33472,169.74959
1.07123601436615,1.0592985153198242,109.8729,119.79936
1.4603216648101807,1.2226406335830688,142.89726,155.08414
1.1662189960479736,1.331472635269165,108.58643,140.34843
1.0599957704544067,1.1027262210845947,97.37623,116.66575
1.0313199758529663,1.0733795166015625,107.281715,114.823364
1.1353944540023804,1.665529489517212,112.07636,129.61586
1.648518443107605,1.6141746044158936,149.10733,157.81139
1.0953497886657715,1.4005663394927979,88.29775,113.511635
1.060165524482727,1.4486850500106812,122.526596,151.69157
1.0458941459655762,1.060669183731079,78.10034,88.503265
1.0382353067398071,1.1155681610107422,101.18405,115.91329
1.068698525428772,1.0602830648422241,93.36425,107.962875
1.044777274131775,1.0594342947006226,104.398285,108.49167
1.0758020877838135,2.9111104011535645,135.1653,142.92451
2.1655232906341553,1.1640464067459106,128.28557,129.17091
1.4946961402893066,1.1633862257003784,114.86437,122.659
1.204687237739563,1.528740406036377,146.38852,154.26414
2.7458300590515137,1.4945414066314697,120.13875,127.93809
1.0609660148620605,1.0771327018737793,80.01142,94.52635
1.0318410396575928,1.0359963178634644,107.185005,120.00036
1.2129099369049072,1.2466522455215454,85.0945,90.65117
1.0362881422042847,1.0504950284957886,104.65043,119.7233
2.988370180130005,2.782672643661499,116.98227,137.43706
1.226118564605713,1.159104585647583,113.28025,121.25258
1.2025872468948364,1.7386696338653564,88.32199,151.82028
2.54353404045105,1.097490668296814,138.90555,151.99315
1.0484468936920166,1.212011456489563,98.519394,110.02226
1.0605250597000122,1.1502494812011719,125.95753,152.08281
1.0361071825027466,1.073731541633606,101.338264,111.14225
1.0463840961456299,1.1253769397735596,110.29886,114.90829
1.0743200778961182,1.1732207536697388,112.575836,115.50258
1.057661771774292,1.03724205493927,143.1222,147.56021
1.1462171077728271,1.3373361825942993,88.60289,112.691826
1.2067277431488037,3.366685152053833,124.72092,137.3375
1.2373296022415161,3.018043041229248,160.74796,166.87895
1.5510601997375488,3.6000518798828125,167.91853,176.33118
1.9839470386505127,1.2812345027923584,153.28189,165.89627
1.3688236474990845,1.8860524892807007,88.57895,88.26977
1.1227678060531616,1.1973782777786255,111.68251,120.80213
1.0561580657958984,1.1573978662490845,125.77244,132.51846
1.0397151708602905,1.0910015106201172,102.14613,109.858765
1.0999934673309326,1.151355266571045,85.54529,112.355225
1.230528712272644,1.4662022590637207,88.87014,101.32202
1.6582626104354858,1.3607804775238037,91.208046,108.23223
1.0810582637786865,1.4233875274658203,87.559845,119.40897
1.0710951089859009,1.3248322010040283,130.38007,155.44458
1.1282038688659668,1.2032145261764526,98.81101,108.53405
1.151774525642395,1.6905357837677002,75.95788,84.64508
1.1536082029342651,1.431106448173523,80.2394,103.50666
1.0794641971588135,1.1136579513549805,106.85427,102.82915
1.1434816122055054,1.7731176614761353,76.623055,90.75353
1.7979995012283325,2.3156650066375732,103.28016,109.77792
1.7256500720977783,1.695146083831787,117.50175,137.93901
1.1008954048156738,1.9958478212356567,115.29489,103.556564
1.0776972770690918,1.0888140201568604,100.73832,104.82688
1.0790296792984009,1.128710150718689,100.43135,114.34591
1.152803897857666,1.1287165880203247,74.88707,69.63304
1.0376290082931519,1.0432701110839844,105.923294,117.23689
1.1538466215133667,1.1749995946884155,74.97603,112.16818
1.0396971702575684,1.204719066619873,135.59282,137.8684
1.0729068517684937,1.6888092756271362,66.886826,101.06016
1.054840326309204,1.1872743368148804,106.1716,120.38562
1.0628761053085327,1.4248392581939697,133.97849,148.38866
1.06075119972229,1.0657305717468262,130.86896,133.65207
1.040684461593628,1.152195930480957,97.92081,100.04186
1.0426108837127686,1.363911747932434,122.194405,137.0703
2.6855504512786865,1.4266670942306519,116.87502,121.92623
1.0935847759246826,1.135744333267212,109.4677,128.6574
1.6535942554473877,1.6856977939605713,99.658806,110.26887
1.7918965816497803,2.430584192276001,111.987236,143.14273
1.7677617073059082,2.3404972553253174,69.78857,88.35864
1.0622762441635132,1.0727862119674683,90.717094,106.92782
2.0704407691955566,2.4154927730560303,157.23,150.30324
1.2324215173721313,1.71238112449646,131.73834,141.68468
1.0333632230758667,1.1036866903305054,96.1749,112.84607
1.7642931938171387,1.2221450805664062,119.21223,130.34294
1.6817412376403809,1.8928486108779907,118.96593,139.31935
1.0787315368652344,1.1824820041656494,99.96923,108.749275
1.0442016124725342,1.6508054733276367,156.34413,157.81592
1.029279351234436,1.1180695295333862,116.781845,141.75073
1.1294490098953247,1.134626030921936,89.13983,103.89089
1.18947434425354,1.4735767841339111,120.76225,118.15546
1.0538380146026611,1.7212039232254028,80.66558,109.88588
1.070156216621399,1.1329265832901,98.956985,123.10625
1.0974758863449097,1.1524919271469116,89.52879,107.126816
1.0506552457809448,1.431362509727478,128.31516,143.64929
1.1455224752426147,1.455578327178955,104.78271,107.07714
1.154815912246704,1.0678317546844482,102.475464,109.78103
1.0876867771148682,1.1140128374099731,89.75933,118.70136
1.2022628784179688,1.2091723680496216,115.87548,149.7548
1.5915988683700562,1.7483768463134766,140.94807,137.70915
1.0501898527145386,1.1038949489593506,105.45707,122.39476
1.075246810913086,2.391455888748169,116.85555,143.2802
1.2296398878097534,1.2450180053710938,113.00105,114.80104
1.544041633605957,1.37538480758667,119.32615,119.72127
2.1576998233795166,2.3566741943359375,106.68832,114.45464
1.0965220928192139,1.5604615211486816,75.01747,77.923645
1.2999017238616943,1.3241748809814453,104.25206,113.65103
1.066375494003296,1.079265832901001,79.51852,106.77875
1.542626976966858,1.1470645666122437,124.87006,126.55986
1.5556070804595947,1.164536476135254,128.30936,163.41438
1.0509800910949707,1.1765103340148926,110.988884,133.78522
1.0664911270141602,1.0658363103866577,110.56674,122.62565
1.0570262670516968,1.0759743452072144,81.91023,100.47426
1.1327552795410156,1.544243335723877,130.13116,164.47705
